source,target,weight
K00027,K16165,0.9009287925696594
K00027,K16871,0.739938080495356
K00027,K17060,0.8224974200206397
K00027,K17061,0.6367389060887513
K00027,K18072,0.8410732714138286
K00027,K18094,0.8617131062951496
K00027,K18248,0.7915376676986584
K00027,K18322,0.8018575851393188
K00027,K18348,-0.7874097007223942
K00027,K18351,0.8926728586171312
K00027,K18353,0.8410732714138286
K00027,K18354,-0.7523219814241485
K00027,K18444,0.7997936016511867
K00027,K18586,0.7393519803105348
K00027,K18587,0.7372226072793587
K00027,K18608,-0.6202270381836945
K00027,K18856,-0.7275541795665634
K00027,K18986,0.6656346749226005
K00027,K19084,-0.6594427244582043
K00027,K19303,0.7027863777089782
K00027,K19343,0.8988648090815273
K00027,K19617,0.8658410732714137
K00027,K19618,0.6611733175980998
K00027,K19622,0.7027863777089782
K00027,K19804,0.6800825593395253
K00027,K20552,0.7791537667698658
K00027,K21471,-0.6883384932920537
K00027,K21567,0.7254901960784313
K00027,K21711,0.6738906088751291
K00027,K22292,0.8864809081527348
K00027,K22338,-0.7192982456140351
K00027,K22339,-0.7997936016511867
K00027,K22340,-0.6635706914344685
K00027,K22341,-0.7977296181630547
K00031,K00049,0.6491160295673238
K00031,K00050,0.6986584107327141
K00031,K00075,0.8348813209494325
K00031,K00090,0.8452012383900928
K00031,K00158,-0.6408668730650156
K00031,K00161,0.8348813209494325
K00031,K00162,0.7213622291021672
K00031,K00163,0.9133126934984519
K00031,K00174,-0.651186790505676
K00031,K00176,-0.8101135190918473
K00031,K00177,-0.8018575851393188
K00031,K00179,-0.6429308565531475
K00031,K00180,-0.6140350877192982
K00031,K00186,-0.7894736842105263
K00031,K00187,-0.7956656346749225
K00031,K00230,-0.7894736842105263
K00031,K00284,0.717234262125903
K00031,K00329,0.8555211558307534
K00031,K00347,-0.7151702786377709
K00031,K00348,-0.7874097007223942
K00031,K00349,-0.717234262125903
K00031,K00350,-0.7089783281733747
K00031,K00351,-0.6429308565531475
K00031,K00356,0.8637770897832818
K00031,K00363,0.762641898864809
K00031,K00366,0.8782249742002064
K00031,K00367,0.78328173374613
K00031,K00368,0.8534571723426212
K00031,K00370,0.9133126934984519
K00031,K00371,0.8142414860681115
K00031,K00373,0.7151702786377709
K00031,K00384,0.6904024767801857
K00031,K00392,0.8039215686274509
K00031,K00404,0.8452012383900928
K00031,K00405,0.8802889576883385
K00031,K00406,0.9463364293085655
